"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,"0.6",-1,1,0,0,1,0,26965,807961344,26965,975801085,26965,807961196,26965,975801155
256,500,375,-2,"0.6",-1,1,0,0,2,0,26966,49039537,26966,217002306,26966,49039392,26966,217002385
256,500,375,-2,"0.6",-1,1,0,0,3,0,26966,287598311,26966,454420092,26966,287598166,26966,454420175
256,500,375,-2,"0.6",-1,1,0,0,4,0,26966,523553849,26966,686975199,26966,523553696,26966,686975279
256,500,375,-2,"0.6",-1,1,0,0,5,0,26966,755914358,26966,922587055,26966,755914207,26966,922587134
256,500,375,-2,"0.6",-1,1,0,0,6,0,26966,992193375,26967,158782328,26966,992193228,26967,158782402
256,500,375,-2,"0.6",-1,1,0,0,7,0,26967,224872609,26967,393117529,26967,224872476,26967,393117616
256,500,375,-2,"0.6",-1,1,0,0,8,0,26967,463672008,26967,630352199,26967,463671868,26967,630352285
256,500,375,-2,"0.6",-1,1,0,0,9,0,26967,694477955,26967,862941981,26967,694477802,26967,862942067
256,500,375,-2,"0.6",-1,1,0,0,10,0,26967,932145971,26968,99366003,26967,932145833,26968,99366089
256,500,375,-2,"0.6",-1,1,1,0,1,1,26968,262690163,26968,429232731,26968,262655147,26968,429303054
256,500,375,-2,"0.6",-1,1,1,0,2,1,26968,498917658,26968,664245206,26968,498884982,26968,664315233
256,500,375,-2,"0.6",-1,1,1,0,3,1,26968,733389967,26968,901039697,26968,733327220,26968,901110950
256,500,375,-2,"0.6",-1,1,1,0,4,1,26968,969592679,26969,133758899,26968,969527367,26969,133835953
256,500,375,-2,"0.6",-1,1,1,0,5,1,26969,207229090,26969,372414549,26969,207159862,26969,372482386
256,500,375,-2,"0.6",-1,1,1,0,6,1,26969,441234290,26969,607835092,26969,441205661,26969,607906320
256,500,375,-2,"0.6",-1,1,1,0,7,1,26969,676365591,26969,841042700,26969,676296618,26969,841110944
256,500,375,-2,"0.6",-1,1,1,0,8,1,26969,910162005,26970,77499330,26969,910129405,26970,77567160
256,500,375,-2,"0.6",-1,1,1,0,9,1,26970,147015649,26970,314575664,26970,147006012,26970,314645192
256,500,375,-2,"0.6",-1,1,1,0,10,1,26970,384952639,26970,551708335,26970,384894850,26970,551778445
256,500,375,-2,"0.6",-1,1,1,1,1,1,26970,641869982,26970,809417725,26970,641805553,26970,809485054
256,500,375,-2,"0.6",-1,1,1,1,2,1,26970,877631119,26971,41861622,26970,877597337,26971,41927842
256,500,375,-2,"0.6",-1,1,1,1,3,1,26971,110016213,26971,275656356,26971,109981706,26971,275724603
256,500,375,-2,"0.6",-1,1,1,1,4,1,26971,342243849,26971,506382430,26971,342243022,26971,506450431
256,500,375,-2,"0.6",-1,1,1,1,5,1,26971,573173634,26971,736148622,26971,573164643,26971,736215927
256,500,375,-2,"0.6",-1,1,1,1,6,1,26971,806738039,26971,972612814,26971,806728999,26971,972685111
256,500,375,-2,"0.6",-1,1,1,1,7,1,26972,43094479,26972,211286465,26972,43088383,26972,211352159
256,500,375,-2,"0.6",-1,1,1,1,8,1,26972,279389572,26972,444295420,26972,279340290,26972,444361984
256,500,375,-2,"0.6",-1,1,1,1,9,1,26972,513536037,26972,680976335,26972,513476820,26972,681042086
256,500,375,-2,"0.6",-1,1,1,1,10,1,26972,749278484,26972,912516028,26972,749217167,26972,912583560
256,500,375,-2,"0.6",-1,1,1,2,1,1,26972,997613823,26973,164692903,26972,997605210,26973,164757363
256,500,375,-2,"0.6",-1,1,1,2,2,1,26973,236149030,26973,402697882,26973,236084875,26973,402765195
256,500,375,-2,"0.6",-1,1,1,2,3,1,26973,477151755,26973,643266283,26973,477119495,26973,643337034
256,500,375,-2,"0.6",-1,1,1,2,4,1,26973,711378356,26973,878816573,26973,711369608,26973,878883062
256,500,375,-2,"0.6",-1,1,1,2,5,1,26973,951403530,26974,117757080,26973,951370931,26974,117824111
256,500,375,-2,"0.6",-1,1,1,2,6,1,26974,186981720,26974,351900527,26974,186939753,26974,351972086
256,500,375,-2,"0.6",-1,1,1,2,7,1,26974,425369601,26974,593166175,26974,425336667,26974,593234126
256,500,375,-2,"0.6",-1,1,1,2,8,1,26974,709700310,26974,877284111,26974,709639453,26974,877353998
256,500,375,-2,"0.6",-1,1,1,2,9,1,26974,965326884,26975,130876437,26974,965300615,26975,130945898
256,500,375,-2,"0.6",-1,1,1,2,10,1,26975,201024149,26975,368361950,26975,201018103,26975,368431086
256,500,375,-2,"0.6",-1,1,2,0,1,1,26975,454585965,26975,540240993,26975,454442449,26975,542151207
256,500,375,-2,"0.6",-1,1,2,0,1,2,26975,454648366,26975,542040640,26975,454442449,26975,542151207
256,500,375,-2,"0.6",-1,1,2,0,2,1,26975,622458268,26975,708068624,26975,622320645,26975,709925847
256,500,375,-2,"0.6",-1,1,2,0,2,2,26975,622389816,26975,709851431,26975,622320645,26975,709925847
256,500,375,-2,"0.6",-1,1,2,0,3,1,26975,809892844,26975,889966848,26975,809786567,26975,891801002
256,500,375,-2,"0.6",-1,1,2,0,3,2,26975,809895161,26975,891729608,26975,809786567,26975,891801002
256,500,375,-2,"0.6",-1,1,2,0,4,1,26975,964683898,26976,52422320,26975,964525043,26976,54205265
256,500,375,-2,"0.6",-1,1,2,0,4,2,26975,964621237,26976,54138686,26975,964525043,26976,54205265
256,500,375,-2,"0.6",-1,1,2,0,5,1,26976,126560316,26976,211492866,26976,126455477,26976,213346319
256,500,375,-2,"0.6",-1,1,2,0,5,2,26976,126639249,26976,213281276,26976,126455477,26976,213346319
256,500,375,-2,"0.6",-1,1,2,0,6,1,26976,290004607,26976,377587567,26976,289899163,26976,379368220
256,500,375,-2,"0.6",-1,1,2,0,6,2,26976,289969693,26976,379299040,26976,289899163,26976,379368220
256,500,375,-2,"0.6",-1,1,2,0,7,1,26976,456813545,26976,543115059,26976,456632788,26976,544833498
256,500,375,-2,"0.6",-1,1,2,0,7,2,26976,456851579,26976,544761450,26976,456632788,26976,544833498
256,500,375,-2,"0.6",-1,1,2,0,8,1,26976,620612439,26976,704833158,26976,620545557,26976,706665284
256,500,375,-2,"0.6",-1,1,2,0,8,2,26976,620635510,26976,706575240,26976,620545557,26976,706665284
256,500,375,-2,"0.6",-1,1,2,0,9,1,26976,782433530,26976,864700657,26976,782331263,26976,866525035
256,500,375,-2,"0.6",-1,1,2,0,9,2,26976,782454794,26976,866456723,26976,782331263,26976,866525035
256,500,375,-2,"0.6",-1,1,2,0,10,1,26976,941593935,26977,26771988,26976,941525266,26977,28618656
256,500,375,-2,"0.6",-1,1,2,0,10,2,26976,941615707,26977,28544253,26976,941525266,26977,28618656
256,500,375,-2,"0.6",-1,1,2,1,1,1,26977,126211103,26977,210970635,26977,126100390,26977,211045889
