"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,"0.6",-1,1,0,0,1,0,26809,711892379,26809,880080384,26809,711892229,26809,880080447
256,500,375,-2,"0.6",-1,1,0,0,2,0,26809,949758683,26810,115050878,26809,949758597,26810,115050974
256,500,375,-2,"0.6",-1,1,0,0,3,0,26810,183617124,26810,345267920,26810,183617032,26810,345268013
256,500,375,-2,"0.6",-1,1,0,0,4,0,26810,427964964,26810,591080488,26810,427964799,26810,591080571
256,500,375,-2,"0.6",-1,1,0,0,5,0,26810,661163809,26810,826990990,26810,661163722,26810,826991070
256,500,375,-2,"0.6",-1,1,0,0,6,0,26810,894884981,26811,58666608,26810,894884897,26811,58666688
256,500,375,-2,"0.6",-1,1,0,0,7,0,26811,126156864,26811,290775277,26811,126156779,26811,290775339
256,500,375,-2,"0.6",-1,1,0,0,8,0,26811,358167831,26811,523626033,26811,358167698,26811,523626120
256,500,375,-2,"0.6",-1,1,0,0,9,0,26811,590523474,26811,752332564,26811,590523389,26811,752332625
256,500,375,-2,"0.6",-1,1,0,0,10,0,26811,879767935,26812,48219531,26811,879767782,26812,48219590
256,500,375,-2,"0.6",-1,1,1,0,1,1,26812,199672574,26812,364653640,26812,199650314,26812,364720537
256,500,375,-2,"0.6",-1,1,1,0,2,1,26812,430947171,26812,593658290,26812,430906751,26812,593723759
256,500,375,-2,"0.6",-1,1,1,0,3,1,26812,661746297,26812,827422830,26812,661736498,26812,827493989
256,500,375,-2,"0.6",-1,1,1,0,4,1,26812,898722967,26813,66270327,26812,898715818,26813,66336268
256,500,375,-2,"0.6",-1,1,1,0,5,1,26813,132917272,26813,298588404,26813,132909497,26813,298655211
256,500,375,-2,"0.6",-1,1,1,0,6,1,26813,366782172,26813,528988372,26813,366744520,26813,529054986
256,500,375,-2,"0.6",-1,1,1,0,7,1,26813,596318394,26813,761408344,26813,596279353,26813,761472499
256,500,375,-2,"0.6",-1,1,1,0,8,1,26813,834423363,26814,732444,26813,834377070,26814,799121
256,500,375,-2,"0.6",-1,1,1,0,9,1,26814,66556017,26814,231187270,26814,66549386,26814,231256550
256,500,375,-2,"0.6",-1,1,1,0,10,1,26814,297691533,26814,463528593,26814,297642263,26814,463597777
256,500,375,-2,"0.6",-1,1,1,1,1,1,26814,543621222,26814,710328271,26814,543555576,26814,710396380
256,500,375,-2,"0.6",-1,1,1,1,2,1,26814,778831095,26814,943627554,26814,778825068,26814,943663725
256,500,375,-2,"0.6",-1,1,1,1,3,1,26815,11085389,26815,174271206,26815,11040777,26815,174339204
256,500,375,-2,"0.6",-1,1,1,1,4,1,26815,241632916,26815,408579300,26815,241587106,26815,408644867
256,500,375,-2,"0.6",-1,1,1,1,5,1,26815,474808129,26815,637122448,26815,474807347,26815,637190068
256,500,375,-2,"0.6",-1,1,1,1,6,1,26815,702978114,26815,866398113,26815,702976647,26815,866467196
256,500,375,-2,"0.6",-1,1,1,1,7,1,26815,932016985,26816,95149776,26815,932012399,26816,95218155
256,500,375,-2,"0.6",-1,1,1,1,8,1,26816,164260101,26816,331929321,26816,164216583,26816,331995748
256,500,375,-2,"0.6",-1,1,1,1,9,1,26816,400856363,26816,566588792,26816,400854346,26816,566657234
256,500,375,-2,"0.6",-1,1,1,1,10,1,26816,636801566,26816,802830501,26816,636757040,26816,802897892
256,500,375,-2,"0.6",-1,1,1,2,1,1,26816,884597002,26817,50446132,26816,884531600,26817,50513723
256,500,375,-2,"0.6",-1,1,1,2,2,1,26817,119388617,26817,287231818,26817,119378838,26817,287300155
256,500,375,-2,"0.6",-1,1,1,2,3,1,26817,355489603,26817,522290025,26817,355450957,26817,522363418
256,500,375,-2,"0.6",-1,1,1,2,4,1,26817,592962280,26817,759665232,26817,592935914,26817,759721871
256,500,375,-2,"0.6",-1,1,1,2,5,1,26817,831707061,26817,998411398,26817,831697614,26817,998474568
256,500,375,-2,"0.6",-1,1,1,2,6,1,26818,63960909,26818,230599737,26818,63920800,26818,230665080
256,500,375,-2,"0.6",-1,1,1,2,7,1,26818,311019965,26818,474424488,26818,310950622,26818,474492698
256,500,375,-2,"0.6",-1,1,1,2,8,1,26818,543310707,26818,709853306,26818,543304682,26818,709927520
256,500,375,-2,"0.6",-1,1,1,2,9,1,26818,780404157,26818,947769224,26818,780388562,26818,947835134
256,500,375,-2,"0.6",-1,1,1,2,10,1,26819,15004231,26819,179663326,26819,14997350,26819,179727566
256,500,375,-2,"0.6",-1,1,2,0,1,1,26819,257940188,26819,343774719,26819,257808173,26819,345597154
256,500,375,-2,"0.6",-1,1,2,0,1,2,26819,258006135,26819,345525712,26819,257808173,26819,345597154
256,500,375,-2,"0.6",-1,1,2,0,2,1,26819,420625184,26819,503044681,26819,420489166,26819,504796215
256,500,375,-2,"0.6",-1,1,2,0,2,2,26819,420593449,26819,504732414,26819,420489166,26819,504796215
256,500,375,-2,"0.6",-1,1,2,0,3,1,26819,577000775,26819,658711778,26819,576897382,26819,660520621
256,500,375,-2,"0.6",-1,1,2,0,3,2,26819,576968866,26819,660451488,26819,576897382,26819,660520621
256,500,375,-2,"0.6",-1,1,2,0,4,1,26819,736484728,26819,819259980,26819,736386915,26819,821121509
256,500,375,-2,"0.6",-1,1,2,0,4,2,26819,736563671,26819,821044706,26819,736386915,26819,821121509
256,500,375,-2,"0.6",-1,1,2,0,5,1,26819,897395554,26819,982746821,26819,897325690,26819,984565793
256,500,375,-2,"0.6",-1,1,2,0,5,2,26819,897375561,26819,984498562,26819,897325690,26819,984565793
256,500,375,-2,"0.6",-1,1,2,0,6,1,26820,64979871,26820,144972323,26820,64887925,26820,146761538
256,500,375,-2,"0.6",-1,1,2,0,6,2,26820,64986127,26820,146694756,26820,64887925,26820,146761538
256,500,375,-2,"0.6",-1,1,2,0,7,1,26820,222651176,26820,307588849,26820,222601077,26820,309392013
256,500,375,-2,"0.6",-1,1,2,0,7,2,26820,222677367,26820,309328005,26820,222601077,26820,309392013
256,500,375,-2,"0.6",-1,1,2,0,8,1,26820,386514069,26820,468641547,26820,386441333,26820,470437472
256,500,375,-2,"0.6",-1,1,2,0,8,2,26820,386509371,26820,470365486,26820,386441333,26820,470437472
256,500,375,-2,"0.6",-1,1,2,0,9,1,26820,547359734,26820,628653085,26820,547249812,26820,630539812
256,500,375,-2,"0.6",-1,1,2,0,9,2,26820,547423731,26820,630444950,26820,547249812,26820,630539812
256,500,375,-2,"0.6",-1,1,2,0,10,1,26820,704886992,26820,788015477,26820,704758576,26820,789781173
256,500,375,-2,"0.6",-1,1,2,0,10,2,26820,704829050,26820,789716716,26820,704758576,26820,789781173
256,500,375,-2,"0.6",-1,1,2,1,1,1,26820,874822402,26820,958785243,26820,874703125,26820,959456795
256,500,375,-2,"0.6",-1,1,2,1,1,2,26820,874817514,26820,959388276,26820,874703125,26820,959456795
256,500,375,-2,"0.6",-1,1,2,1,2,1,26821,35137637,26821,118319524,26821,35062562,26821,118387632
256,500,375,-2,"0.6",-1,1,2,1,2,2,26821,35182951,26821,117733139,26821,35062562,26821,118387632
256,500,375,-2,"0.6",-1,1,2,1,3,1,26821,196079070,26821,281467510,26821,196048063,26821,282123220
256,500,375,-2,"0.6",-1,1,2,1,3,2,26821,196066164,26821,282058969,26821,196048063,26821,282123220
256,500,375,-2,"0.6",-1,1,2,1,4,1,26821,358789211,26821,444723503,26821,358775430,26821,444788704
256,500,375,-2,"0.6",-1,1,2,1,4,2,26821,358792295,26821,444121985,26821,358775430,26821,444788704
256,500,375,-2,"0.6",-1,1,2,1,5,1,26821,519588675,26821,604808486,26821,519533933,26821,604874986
256,500,375,-2,"0.6",-1,1,2,1,5,2,26821,519565678,26821,604222717,26821,519533933,26821,604874986
256,500,375,-2,"0.6",-1,1,2,1,6,1,26821,727000941,26821,812354430,26821,726932329,26821,813007457
